string,count
ա,206708
ն,98901
ո,72447
ր,68129
ե,63375
ւ,62892
ի,48709
ս,38248
մ,36368
կ,35249
տ,31902
ց,31102
յ,26134
զ,21062
թ,19892
լ,18460
ք,18358
ղ,17505
գ,16968
հ,16177
բ,15953
դ,15848
պ,14020
խ,12065
է,11623
ռ,10016
շ,9440
ծ,9179
վ,9119
փ,6164
ձ,5094
ջ,4976
չ,4662
ճ,4165
ժ,3200
ը,2267
