string,count
ա,59306
ն,31759
1,26125
ե,24246
ո,23070
ր,21048
ի,17215
ս,16054
ւ,15816
ց,15536
յ,10792
մ,9656
կ,9523
տ,9441
2,9409
զ,8978
ք,8131
լ,6637
թ,5788
ղ,5609
դ,5547
է,5547
բ,4962
գ,4900
3,4825
հ,4739
պ,3986
վ,3570
4,3418
խ,3272
ռ,3073
ծ,2730
5,2490
շ,2462
փ,2112
օ,1954
6,1912
ջ,1631
7,1591
ձ,1464
8,1298
չ,1291
9,1143
ճ,1044
0,1020
ժ,840
ը,544
-,389
