string,count
ա,85340
ն,45966
1,34767
ո,31667
ր,29118
ե,27787
ւ,25170
ի,20108
ս,18214
ց,14953
կ,14137
տ,13879
մ,12611
յ,12111
զ,11789
2,10251
լ,9840
ք,8983
թ,8147
հ,7438
գ,7024
դ,6861
ղ,6516
բ,6347
պ,6281
է,5966
3,5166
խ,4964
վ,4174
ռ,4029
շ,4024
ծ,3413
4,3347
5,2431
փ,2067
ձ,1982
6,1895
ջ,1883
օ,1846
չ,1687
ճ,1641
7,1446
8,1256
ժ,1237
9,1105
ը,886
0,878
-,482
ֆ,3
